pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo
50,50,0.05,0.05,[1 2 6 5 9 4 7 0 3 8],5222.0,0.45307159423828125,48
50,50,0.05,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,0.433901309967041,41
50,50,0.05,0.2,[1 6 8 5 0 7 4 9 2 3],5296.0,0.4425830841064453,18
50,50,0.1,0.05,[1 2 8 5 7 4 9 0 3 6],5333.0,0.3993690013885498,22
50,50,0.1,0.1,[0 8 4 5 9 3 7 1 6 2],5352.0,0.43593549728393555,20
50,50,0.1,0.2,[9 2 6 5 1 4 3 0 7 8],5205.0,0.42648816108703613,22
50,50,0.2,0.05,[0 3 7 5 9 8 2 1 4 6],5425.0,0.378781795501709,23
50,50,0.2,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,0.4316437244415283,29
50,50,0.2,0.2,[0 2 6 5 9 8 1 4 7 3],5189.0,0.40959787368774414,35
50,100,0.05,0.05,[0 6 8 5 9 7 4 1 2 3],5303.0,0.8683042526245117,73
50,100,0.05,0.1,[9 8 6 5 0 2 4 1 7 3],5225.0,0.8595147132873535,6
50,100,0.05,0.2,[1 2 3 5 9 4 7 0 6 8],5221.0,0.906792402267456,23
50,100,0.1,0.05,[1 2 3 5 9 4 7 0 6 8],5221.0,0.8419637680053711,47
50,100,0.1,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,0.8282802104949951,24
50,100,0.1,0.2,[1 2 3 5 9 4 7 0 6 8],5221.0,0.8316130638122559,26
50,100,0.2,0.05,[0 2 6 5 9 8 1 4 7 3],5189.0,0.7301723957061768,46
50,100,0.2,0.1,[0 6 8 5 9 7 4 1 2 3],5303.0,0.7198657989501953,34
50,100,0.2,0.2,[9 8 6 5 0 2 4 1 7 3],5225.0,0.7197592258453369,22
50,200,0.05,0.05,[1 6 8 5 0 7 4 9 2 3],5296.0,1.680870771408081,40
50,200,0.05,0.1,[4 6 5 3 1 7 2 0 8 9],5409.0,1.7063097953796387,39
50,200,0.05,0.2,[0 6 8 5 9 7 4 1 2 3],5303.0,1.7103209495544434,8
50,200,0.1,0.05,[1 2 3 5 9 4 7 0 6 8],5221.0,1.6395676136016846,52
50,200,0.1,0.1,[1 7 5 6 0 3 4 9 2 8],5283.0,1.631291389465332,27
50,200,0.1,0.2,[0 6 8 5 9 7 4 1 2 3],5303.0,1.6607487201690674,20
50,200,0.2,0.05,[9 2 6 5 1 4 3 0 7 8],5205.0,1.4340991973876953,30
50,200,0.2,0.1,[9 2 6 5 1 4 3 0 7 8],5205.0,1.4146075248718262,16
50,200,0.2,0.2,[0 2 6 5 9 8 1 4 7 3],5189.0,1.4746649265289307,6
100,50,0.05,0.05,[0 2 6 5 9 8 1 4 7 3],5189.0,0.8846039772033691,14
100,50,0.05,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,0.8830916881561279,19
100,50,0.05,0.2,[1 2 3 5 9 4 7 0 6 8],5221.0,0.9228041172027588,17
100,50,0.1,0.05,[9 2 6 5 1 4 3 0 7 8],5205.0,0.8688991069793701,10
100,50,0.1,0.1,[0 9 8 5 4 3 7 1 6 2],5240.0,0.8466148376464844,11
100,50,0.1,0.2,[9 2 6 5 1 4 3 0 7 8],5205.0,0.8627448081970215,22
100,50,0.2,0.05,[9 2 6 5 1 4 3 0 7 8],5205.0,0.7414662837982178,29
100,50,0.2,0.1,[9 2 6 5 1 4 3 0 7 8],5205.0,0.7442967891693115,30
100,50,0.2,0.2,[1 7 5 6 0 3 4 9 2 8],5283.0,0.7785799503326416,12
100,100,0.05,0.05,[1 7 5 6 0 3 4 9 2 8],5283.0,1.7435314655303955,33
100,100,0.05,0.1,[9 2 6 5 1 4 3 0 7 8],5205.0,1.764838695526123,32
100,100,0.05,0.2,[1 6 8 5 0 7 4 9 2 3],5296.0,1.8151257038116455,12
100,100,0.1,0.05,[1 7 5 6 9 4 2 0 8 3],5321.0,1.6496593952178955,11
100,100,0.1,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,1.7019424438476562,10
100,100,0.1,0.2,[0 2 6 5 9 8 1 4 7 3],5189.0,1.6798803806304932,16
100,100,0.2,0.05,[9 2 6 5 1 4 3 0 7 8],5205.0,1.4704411029815674,18
100,100,0.2,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,1.5095839500427246,13
100,100,0.2,0.2,[4 2 3 5 1 8 7 0 6 9],5267.0,1.4957797527313232,15
100,200,0.05,0.05,[1 2 3 5 9 4 7 0 6 8],5221.0,3.526200532913208,11
100,200,0.05,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,3.523599624633789,20
100,200,0.05,0.2,[4 8 3 5 9 2 1 0 7 6],5247.0,3.5878281593322754,9
100,200,0.1,0.05,[4 9 6 5 0 2 1 7 8 3],5283.0,3.2992746829986572,15
100,200,0.1,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,3.3326966762542725,18
100,200,0.1,0.2,[0 9 8 5 4 3 7 1 6 2],5240.0,3.429645299911499,13
100,200,0.2,0.05,[0 2 6 5 9 8 1 4 7 3],5189.0,3.0401101112365723,16
100,200,0.2,0.1,[9 2 6 5 1 4 3 0 7 8],5205.0,3.0861382484436035,19
100,200,0.2,0.2,[0 9 8 5 4 3 7 1 6 2],5240.0,2.995201587677002,12
200,50,0.05,0.05,[0 6 2 5 1 7 9 4 3 8],5357.0,1.9488577842712402,2
200,50,0.05,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,2.0019383430480957,25
200,50,0.05,0.2,[1 6 8 5 0 7 4 9 2 3],5296.0,2.0105106830596924,5
200,50,0.1,0.05,[1 2 3 5 9 4 7 0 6 8],5221.0,1.8517274856567383,6
200,50,0.1,0.1,[1 6 8 5 0 7 4 9 2 3],5296.0,1.9147911071777344,3
200,50,0.1,0.2,[9 2 6 5 1 4 3 0 7 8],5205.0,1.893855094909668,14
200,50,0.2,0.05,[1 2 3 5 9 4 7 0 6 8],5221.0,1.6633834838867188,27
200,50,0.2,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,1.6600489616394043,24
200,50,0.2,0.2,[0 6 8 5 9 7 4 1 2 3],5303.0,1.696622371673584,9
200,100,0.05,0.05,[1 7 5 6 0 3 4 9 2 8],5283.0,3.8708033561706543,6
200,100,0.05,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,3.9258220195770264,10
200,100,0.05,0.2,[1 2 3 5 9 4 7 0 6 8],5221.0,3.9240834712982178,5
200,100,0.1,0.05,[1 6 8 5 0 7 4 9 2 3],5296.0,3.78654408454895,3
200,100,0.1,0.1,[1 7 5 6 0 3 4 9 2 8],5283.0,3.8264875411987305,14
200,100,0.1,0.2,[0 2 6 5 9 8 1 4 7 3],5189.0,3.824012517929077,7
200,100,0.2,0.05,[9 8 6 5 0 2 4 1 7 3],5225.0,3.3820688724517822,5
200,100,0.2,0.1,[4 8 3 5 9 2 1 0 7 6],5247.0,3.3644230365753174,16
200,100,0.2,0.2,[0 2 6 5 9 8 1 4 7 3],5189.0,3.3544204235076904,16
200,200,0.05,0.05,[9 2 6 5 1 4 3 0 7 8],5205.0,7.898116111755371,10
200,200,0.05,0.1,[9 2 6 5 1 4 3 0 7 8],5205.0,8.065545320510864,7
200,200,0.05,0.2,[9 2 6 5 1 4 3 0 7 8],5205.0,7.9751527309417725,12
200,200,0.1,0.05,[0 2 6 5 9 8 1 4 7 3],5189.0,7.4333295822143555,6
200,200,0.1,0.1,[1 6 8 5 0 7 4 9 2 3],5296.0,7.916313886642456,10
200,200,0.1,0.2,[0 2 6 5 9 8 1 4 7 3],5189.0,8.127258539199829,6
200,200,0.2,0.05,[4 2 3 5 1 8 7 0 6 9],5267.0,6.7403342723846436,6
200,200,0.2,0.1,[0 2 6 5 9 8 1 4 7 3],5189.0,6.895090341567993,7
200,200,0.2,0.2,[0 2 6 5 9 8 1 4 7 3],5189.0,6.847126245498657,13
